,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
id,1.0,-0.016762196614444884,0.001286277231508554,0.005160231618835227,-0.01225776517251423,-0.13210870152459367,0.01852522915415488,-0.0027210938039852893,0.011592365491011296,-0.023782604594877094,0.008130454124348221,-0.010842134111381165,-0.005151125085848475,0.021380128145111456,-0.016906958648006943,-0.00822432492615494,-0.0018909323665511817,0.02079858559458942,-0.0029010038053285682,-0.1387978658934688
price,-0.016762196614444884,1.0,0.30834959814563934,0.5251375054139628,0.7020350546118005,0.0896608605871003,0.25679388755071897,0.26636943403060204,0.39729348829450273,0.03636178912899721,0.6674342560202353,0.6055672983560784,0.3238160207119844,0.05401153149479249,0.1264337934408933,-0.05320285429829216,0.3070034799952544,0.021626241039337152,0.5853789035795692,0.08244715251948544
bedrooms,0.001286277231508554,0.30834959814563934,1.0,0.5158836376158312,0.5766706925022448,0.03170324294493054,0.17542893521993957,-0.0065824786657815645,0.07953185183706335,0.028472104429203823,0.3569667253596055,0.477600161429134,0.3030933753206651,0.15417806945248694,0.018840823118937415,-0.15266848681031958,-0.008931009687756418,0.1294729753317289,0.3916375239688203,0.02924422364559
bathrooms,0.005160231618835227,0.5251375054139628,0.5158836376158312,1.0,0.7546652789673752,0.0877396615312631,0.5006531725878688,0.0637436291356373,0.18773702397664255,-0.12498193347933302,0.6649825338780723,0.6853424758761547,0.2837700340046703,0.5060194382852536,0.05073897764805926,-0.20386627357604253,0.024572952766041812,0.2230418428727852,0.568634289578226,0.08717536081753266
sqft_living,-0.01225776517251423,0.7020350546118005,0.5766706925022448,0.7546652789673752,1.0,0.17282566132360044,0.3539492902367184,0.10381781768450193,0.2846111862169018,-0.05875258685942622,0.7627044764584776,0.8765965986813202,0.4350429736698242,0.31804876899644413,0.05536292687380442,-0.19943004289514654,0.05252946218367662,0.2402232975435568,0.7564202590172237,0.1832855513449471
sqft_lot,-0.13210870152459367,0.0896608605871003,0.03170324294493054,0.0877396615312631,0.17282566132360044,1.0,-0.005200990872992025,0.02160368327661375,0.07471010556640102,-0.008958249506243313,0.11362112362862972,0.18351228086523363,0.0152862016461728,0.0530803670255768,0.007643505013563341,-0.1295744863174354,-0.08568278824272754,0.2295208587846545,0.1446081736665434,0.7185567524330374
floors,0.01852522915415488,0.25679388755071897,0.17542893521993957,0.5006531725878688,0.3539492902367184,-0.005200990872992025,1.0,0.02369832025497446,0.029443820231031943,-0.263767945508646,0.45818251367194585,0.5238847102851428,-0.2457045422736976,0.48931942474364576,0.006338400758647948,-0.05912064167135096,0.049614131020929444,0.12541902806753108,0.2798852650884036,-0.011269186631342024
waterfront,-0.0027210938039852893,0.26636943403060204,-0.0065824786657815645,0.0637436291356373,0.10381781768450193,0.02160368327661375,0.02369832025497446,1.0,0.40185735069757367,0.016653157443820055,0.08277491386769598,0.07207459167209809,0.08058793895429324,-0.026161085578766206,0.09288483674710032,0.030284727603258572,-0.01427377564382394,-0.041910200137246084,0.08646313607953114,0.03070328313848283
view,0.011592365491011296,0.39729348829450273,0.07953185183706335,0.18773702397664255,0.2846111862169018,0.07471010556640102,0.029443820231031943,0.40185735069757367,1.0,0.04598973665511029,0.25132058451449185,0.16764934410325177,0.2769465787675849,-0.05343985139232639,0.10391728817392419,0.08482691692631832,0.0061567320793125685,-0.07839971230699777,0.2804390819954544,0.07257456781595513
condition,-0.023782604594877094,0.03636178912899721,0.028472104429203823,-0.12498193347933302,-0.05875258685942622,-0.008958249506243313,-0.263767945508646,0.016653157443820055,0.04598973665511029,1.0,-0.14467367120300054,-0.15821361637833137,0.17410491386822446,-0.36141656224866225,-0.06061778657589368,0.0030255238948770813,-0.014941006393313076,-0.10650044793628849,-0.09282426801729278,-0.0034055229842107986
grade,0.008130454124348221,0.6674342560202353,0.3569667253596055,0.6649825338780723,0.7627044764584776,0.11362112362862972,0.45818251367194585,0.08277491386769598,0.25132058451449185,-0.14467367120300054,1.0,0.755922937623647,0.16839182490499205,0.446963204926607,0.014414280720814866,-0.1848620929076474,0.11408405711856406,0.19837215305777164,0.7132020930151698,0.1192478971752517
sqft_above,-0.010842134111381165,0.6055672983560784,0.477600161429134,0.6853424758761547,0.8765965986813202,0.18351228086523363,0.5238847102851428,0.07207459167209809,0.16764934410325177,-0.15821361637833137,0.755922937623647,1.0,-0.05194330677072736,0.42389835166374285,0.023284687865467776,-0.26118997650332065,-0.000816498569832327,0.3438030174606107,0.7318702923539875,0.1940498618896678
sqft_basement,-0.005151125085848475,0.3238160207119844,0.3030933753206651,0.2837700340046703,0.4350429736698242,0.0152862016461728,-0.2457045422736976,0.08058793895429324,0.2769465787675849,0.17410491386822446,0.16839182490499205,-0.05194330677072736,1.0,-0.13312409890106924,0.07132290174184826,0.07484460782158386,0.11053795797509115,-0.14476477384171307,0.20035498339424318,0.01727618055749459
yr_built,0.021380128145111456,0.05401153149479249,0.15417806945248694,0.5060194382852536,0.31804876899644413,0.0530803670255768,0.48931942474364576,-0.026161085578766206,-0.05343985139232639,-0.36141656224866225,0.446963204926607,0.42389835166374285,-0.13312409890106924,1.0,-0.2248735184518812,-0.34686917785482735,-0.14812240213732136,0.4093562026390878,0.32622889959571283,0.07095792639769229
yr_renovated,-0.016906958648006943,0.1264337934408933,0.018840823118937415,0.05073897764805926,0.05536292687380442,0.007643505013563341,0.006338400758647948,0.09288483674710032,0.10391728817392419,-0.06061778657589368,0.014414280720814866,0.023284687865467776,0.07132290174184826,-0.2248735184518812,1.0,0.06435705728827965,0.02939760922230974,-0.06837236870285858,-0.0026725554490671486,0.007853765039699628
zipcode,-0.00822432492615494,-0.05320285429829216,-0.15266848681031958,-0.20386627357604253,-0.19943004289514654,-0.1295744863174354,-0.05912064167135096,0.030284727603258572,0.08482691692631832,0.0030255238948770813,-0.1848620929076474,-0.26118997650332065,0.07484460782158386,-0.34686917785482735,0.06435705728827965,1.0,0.26704794998185966,-0.5640716064422665,-0.27903299685594457,-0.14722106867129434
lat,-0.0018909323665511817,0.3070034799952544,-0.008931009687756418,0.024572952766041812,0.05252946218367662,-0.08568278824272754,0.049614131020929444,-0.01427377564382394,0.0061567320793125685,-0.014941006393313076,0.11408405711856406,-0.000816498569832327,0.11053795797509115,-0.14812240213732136,0.02939760922230974,0.26704794998185966,1.0,-0.1355117836093986,0.048857932076734646,-0.08641880718904817
long,0.02079858559458942,0.021626241039337152,0.1294729753317289,0.2230418428727852,0.2402232975435568,0.2295208587846545,0.12541902806753108,-0.041910200137246084,-0.07839971230699777,-0.10650044793628849,0.19837215305777164,0.3438030174606107,-0.14476477384171307,0.4093562026390878,-0.06837236870285858,-0.5640716064422665,-0.1355117836093986,1.0,0.33460498382721554,0.2544512877402925
sqft_living15,-0.0029010038053285682,0.5853789035795692,0.3916375239688203,0.568634289578226,0.7564202590172237,0.1446081736665434,0.2798852650884036,0.08646313607953114,0.2804390819954544,-0.09282426801729278,0.7132020930151698,0.7318702923539875,0.20035498339424318,0.32622889959571283,-0.0026725554490671486,-0.27903299685594457,0.048857932076734646,0.33460498382721554,1.0,0.1831917487040988
sqft_lot15,-0.1387978658934688,0.08244715251948544,0.02924422364559,0.08717536081753266,0.1832855513449471,0.7185567524330374,-0.011269186631342024,0.03070328313848283,0.07257456781595513,-0.0034055229842107986,0.1192478971752517,0.1940498618896678,0.01727618055749459,0.07095792639769229,0.007853765039699628,-0.14722106867129434,-0.08641880718904817,0.2544512877402925,0.1831917487040988,1.0
